Card ID,Name,Game,Card Type,Cycle,Card Size,Found In,Used For,BP Level,Backside Effects,AT/GT?,AT/GT,Resources,Non-Response Text,Responses,Crit Lore,Crit Response,Secrets,FAQ,Errata
AS0550,Small Pyramid,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,II,,AT-Q,6,2 Raw Ambrosia,"If your Weapon has the Spear Trait, immediately place 1 Break token in the Kratos Pool",Instinct All Titans in Zone 1 gain +1 @Danger and suffer Knockdown,You destroy one of the pyramids and the Temenos lets out an inhuman wail,Create a VP,,,
AS0551,Hardened Maze Carapace,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,II,,AT,8,1 Fear Essence. 1 Maze Fragment,,Instinct Perform Signatures against the Attacker,"You hit the carapace with all your might, your hands tremble, your muscles spasm - but the shell has been cracked!","Until the end of Battle, when you attack from the 3 front adjacent spaces, Temeno has -1 @AT",,,
AS0552,Hind Maze Carapace,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,II,,AT,8,1 Fear Essence. 1 Maze Fragment,,Fail Knockback 7. :Wound Perform Signature against the Attacker,You tear away one of the maze plates on the back and the creature shakes visibly,Discard all Despair tokens from each Titan,,,
AS0553,Large Pyramid,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,II,,AT-Q,7,1 Fear Essence,"If your Weapon has the Spear Trait, immediately place 1 Break token in the Kratos Pool",Fail All Titans in Zone 1 gain +1 @Danger and suffer Knockdown. :Wound Perform Routine,"You slice of the pyramid's tip, the giant maze fragment falls to the ground with a defeaning thud",Create a VP,,,
AS0554,Leading Tentacle,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,II,,AT-Q,6,2 Raw Ambrosia,,Fail Gain the Dread Condition card. :Wound All Titans on Labyrinth tiles gain +2 @Fate,You crush one of the leading tentacles with a satisfying smack,Remove 3 Labyrinth tiles from the Board,,,
AS0555,Grand Commisure,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,III,,AT,8,1 Fear Essence. 2 Raw Ambrosia,,Instinct Perform Signatures against the Attacker,You shatter the grand commisure and the creature almost splits in two!,Deal an additonal Single Wound!,,,
AS0556,Maw Of Madness,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,III,,AT-Q,10,1 Fear Essence. 1 Maze Fragment,"If you have the Impossible Logic Boon, automatically gain a Crit Chance. You may voluntarilty end this Attack before performing a Power Roll. If you do, clear the Kratos Pool",Fail Draw an Obol,You've jumped into the endless maw and struck at the heart of hearts,Temenos dies!,,,
AS0557,Fear Gland,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,III,,AT,7,1 Maze Fragment. 2 Raw Ambrosia,,Instinct Gain the Fear Condition card,"You look at the miniscule organ that caused so much misery, then crush it like a bug","Each Titan discards all negative Condition cards and modifier tokens. Gain the [Pyramidion|BJ0858] Cycle 2 @Gear card (Secret Deck 5, card 46), @AdversaryActivation!",,,
AS0558,Contraction Center,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,III,,AT,7,1 Maze Fragment. 2 Raw Ambrosia,,Fail Perform Signature against the Attacker. :Wound Create a Vantage Point,"You strike at the gordian knot of tissue, muscles and ligaments reaching far beyond this world and cut it clean",Temenos gains 1 negative @AT token. Disable Routine,,,
AS0559,Eimerian Tentacle Cluster,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,III,,AT-Q,8,1 Fear Essence. 2 Raw Ambrosia,,Instinct All Titans in Zone 2 gain +1 @Danger and suffer Knockdown,"You sever the link between the cluster and the rest of the body, effectively making the Primordial blind","Temenos gains 1 negative @Precision token. Until the end of battle, all AI cards target the closest Titan",,,
AS0560,Gate Brain,Odyssey,BP,Cycle I,Standard,,Alpha Temenos,III,,AT-Q,9,1 Fear Essence. 2 Raw Ambrosia,"You may voluntarily end this Attack before performing a Power Roll. If you do, clear the Kratos Pool",Fail Draw a Moiros card,There was a gate here to the other side and you closed it shut! Yet a memory lingers..,Temenos cannot place Labyrinth tiles. At the end of Battle resolve _The Gate_ Special Event,,,
AS0564,Wiry Leg,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,I,,AT,4,2 Grotesque Beak,,Instinct Knockdown. Knockback 7,"You crush the monster's knee, bringing it to the ground",Gain the @PriorityTarget Priority Target token. You may perform a Bonus Attack!,,,
AS0565,Hind Pincer,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,I,,AT,5,2 Powdered Matter,,Fail Perform Signature against the Attacker.\s:Wound Immediately draw and resolve a Flare card,"You break one of the hind pincers, pushing the Pursuer into the defensive","During the second ability window, place 2 additional Opening or Break tokens in the Kratos Pool",,,
AS0566,Abnormally Long Arm,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,I,,AT,4,2 Grotesque Beak,,Fail WoO Knockdown. :Wound Perform Signature against the Attacker,Black blood from the gaping wounds splashes all over you!,Gain +2 @Rage,,,
AS0567,Arm Pincer,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,I,,AT,5,2 Powdered Matter,,Fail Immediately draw and resolve a Flare card. :Wound Perform Signature against the Attacker,You rip the pincer out! Pursuer's laughter grows more intense,"Gain the [Nail Spear|AJ0273] @Gear card (Secret Deck 2, card 17)!",,,
AS0568,Large Moth Wing,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,I,,AT,4,2 Powdered Matter,,Fail Knockdown. Knockback 10. :Wound WoO Knockdown. Knockback 7,"The winds are harder than they look, almost as if they were sculpted in stone, but you still manage to punch a small hole in one of them",Pursuer gains 1 negative @ToHit token,,,
AS0569,Small Moth Wing,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,I,,AT,4,2 Grotesque Beak,,Fail Immediately draw and resolve a Flare card. :Wound Knockdown. Knockback 7,You tear one of the small wings away and for a moment you are transported into a different place and time,Gain +1 Mnemos node for a chosen Mnemos,,,
AS0570,Abnormally Small Head,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,II,,AT-Q,7,4 Powdered Matter,,Fail Perform Signature against the Attacker. :Wound Immediately draw and resolve a Flare card,"You rip the head away, but there's a smaller one underneath it!",Deal and additional Signle Wound! Disable the Toying Trait,,,
AS0571,Stone Beak,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,II,,AT,6,4 Grotesque Beak,,Fail Gain +3 @Danger. Resolve a Trauma Draw. :Wound Immediately draw and resolve a Flare card,"You smash the large stone beak, sending thousands of splinters into the Pursuer's body","Gain the [Vulture Mask|AJ0279] @Gear card (Secret deck 2, card 18)!",,,
AS0572,Back Ridges,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,II,,AT-Q,8,2 Powdered Matter. 2 Grotesque Beak,,Fail Immediately draw and resolve a Flare card. :Wound WoO Knockdown,You cut deep into what you think is the monster's spinal column,"Until the end of Battle, Pursuer has -1 @AT if Attacked from its Blindspot spaces",,,
AS0573,Muscular Abdomen,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,II,,AT,7,4 Powdered Matter,,Instinct Gain 2 Ambrosia tokens,"You slash the monster's belly, releasing its horrific contents: dozens of half-digested bodies",Discard all Ambrosia tokens from each Titan,,,
AS0574,Abnormally Broad Shoulders,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,II,,AT,8,2 Powdered Matter. 2 Grotesque Beak,,"Fail Killjoy. :Wound Pursuer moves to the center of the Board, turns to face the most Titans and performs Signature","You strike the monster's broad shoulders, cutting muscles and crushing bones",Another Titan may perform a Bonus Attack!,,,
AS0575,Small Wing Fin,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,II,,AT,6,4 Grotesque Beak,,Fail Killjoy. Gain the Priority Target token. Perform Signature against the Attacker,"With a precise attack, you leave the fin in tatters, making the monster lose balance",Pursuer gains 1 negative @Precision token,,,
AS0576,Crooked Head,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,III,,AT-Q,9,4 Powdered Matter,,Fail Immediately draw and resolve a Flare card. :Wound Draw and resolve an AI card,"You behead the monstrosity, yet it still walks",Disable the {Killjoy} and {Toying} Traits,,,
AS0577,Dangerless Eye,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,III,,AT-Q,11,4 Powdered Matter. 2 Grotesque Beak,,Fail Draw an Obol. :Wound Draw and resolve and AI card,You gouge out the lifeless eye! You keep it as a trophy,Gain the Wise Providence boon for your next Pursuer battle,,,
AS0578,Ambrosia Font,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,III,,AT-Q,8,4 Powdered Matter,,Fail Gaint 2 Ambrosia tokens. :Wound Immediately draw and resolve a Flare card,"You destroy the Ambrosia paunch, black liquid splutters all around",Disable Flares,,,
AS0579,Flight Nerve Center,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,III,,AT,8,2 Powdered Matter. 2 Grotesque Beak,,Fail Killjoy. :Wound Immediately draw and resolve a Flare card,"You puncture the gravity gland and the Primordial slumps to the ground, no longer held in the air by powers eldritch",Disable the {Winged Doom} Trait,,,
AS0580,Hidden Wings,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,III,,AT,8,2 Powdered Matter. 2 Grotesque Beak,,Fail Immediately draw and resolve a Flare card. :Wound Killjoy,You slit the wings hidden deep in the folds of the monster's back,Deal an additional Single Wound!,,,
AS0581,Black-Blood Cryptex,Odyssey,BP,Cycle I,Standard,,Hermesian Pursuer,III,,AT-Q,10,2 Powdered Matter. 4 Grotesque Beak,,Instinct Disable the Toying Trait. Perform Signature against the Attacker,"You break through the hardened ambrosia shell and strike at the black heart of the Pursuer... it's a small, black cryptex",Mark E1. The Pursuer dies!,,,
BS0746,Right Maul,Odyssey,BP,Cycle II,Standard,,Cyclonus,I,,AT-Q,5,1 Violent Ambrosia,,"Fail You dull your Weapon on the black-ironed mauls! Gain +1 @Rage, exhaust your active Weapon. :Wound Gain +1 @Rage",You damage the chain mechanism hidden in the Primordial's forearm!,Disable Cyclonus Range Attacks,,,
BS0747,Monstrous Foot,Odyssey,BP,Cycle II,Standard,,Cyclonus,I,,AT,3,1 Violent Ambrosia,,Fail Gain +1 @Rage. :Wound Cyclonus moves 4 spaces directly away from the Attacker (without turning),"With a well placed strike, you've thrown the Primordial off balance",You may perform a Bonus Attack!,,,
BS0748,Mighty Pectoral Muscle,Odyssey,BP,Cycle II,Standard,,Cyclonus,I,,AT,5,1 Violent Ambrosia,,Instinct Gain the Hatred Condition card,"You tear into the Cyclonus' enormous muscles and though there seems to be no end to them, you're sure you've made a difference","Until the end of Battle, Cyclonus Knockbacks are reduced by 2",,,
BS0749,Ancilliary Cage Armor,Odyssey,BP,Cycle II,Standard,,Cyclonus,I,,AT-Q,3,1 Violent Ambrosia,Prisoners!,Fail Escalate 1. :Wound Lose -1 Humanity. Gain +1 @Rage,"You shatter the chain holding the cage, then set the prisoners free!",Gain +1 Humanity. Gain +1 Mnemos node for a chosen Mnemos,,,
BS0750,Bulging Biceps,Odyssey,BP,Cycle II,Standard,,Cyclonus,I,,AT,4,1 Violent Ambrosia,,Fail Escalate 1. :Wound Gaint +1 @Rage,You cut through the biceps' tendons as if you were cutting through a spider's web,Deal an additional Single Wound!,,,
BS0751,Chiseled Gut,Odyssey,BP,Cycle II,Standard,,Cyclonus,I,,AT,4,1 Violent Ambrosia,,Fail Your Weapon gets stuck in the muscles. Exhaust your active Weapon. :Wound Cyclonus moves 4 spaces directly away from the Attacker (without turning),"You rip open the Primordial's gut, but the tense muscles keep the internal organs inside","During the second ability window, place 3 additional Opening and/or Break tokens in the Kratos Pool",,,
BS0752,Left Maul,Odyssey,BP,Cycle II,Standard,,Cyclonus,II,,AT-Q,6,1 Cyclopean Metal,,"Fail You dull your Weapon on the black-ironed mauls! Gain +2 @Rage, exhaust your active Weapon. :Wound Escalate 1",You've broken the chain holding the maul!,"Gain one of the Maulfist @Gear cards (Secret deck 5, card [47|BJ0940] or [48|BJ0941]), @AdversaryActivation",,,
BS0753,Wounded Back,Odyssey,BP,Cycle II,Standard,,Cyclonus,II,,AT,6,1 Black Chain,,Fail Escalate 1. Cyclonus moves 4 spaces directly away from the Attacker (without turning),Cyclonus' back is lacerated and punctured by iron spikes. Your attack deals massive pain and opens barely healed wounds,Disable {Hardened},,,
BS0754,Lower Cage Armor,Odyssey,BP,Cycle II,Standard,,Cyclonus,II,,AT,5,1 Cyclopean Metal,Prisoners!,Fail Gain +2 @Rage. :Wound Lose -1 Humanity. Gain +2 @Rage,"You shatter the chain holding the cage, then set the prisoners free!",Gain +1 Humanity. Gain +1 Mnemos node for a chosen Mnemos,,,
BS0755,Armored Head,Odyssey,BP,Cycle II,Standard,,Cyclonus,II,,AT-Q,7,1 Black Chain,,Instinct Perform Signature against the Attacker,"As you rip the iron sheets of the Cyclonus' helm to shreds, you realize it has been nailed into the thick skull with Ambrosia-christened rods",Treat Chains Combos as automatically broken,,,
BS0756,Ironhide,Odyssey,BP,Cycle II,Standard,,Cyclonus,II,,AT,5,1 Black Chain,Hardened This BP has +2 AT. Ignore this ability if you rolled a Crit Chance,Instinct Exhaust your active Weapon,You destroy what was deemed indestructible!,You may perform a Bonus Attack with +1 @Power!,,,
BS0757,Powerful Jaw,Odyssey,BP,Cycle II,Standard,,Cyclonus,II,,AT,4,1 Cyclopean Metal,,Fail Exhaust all of your @Gear. :Wound Gain +2 @Rage. Cyclonus moves 4 spaces directly away from the Attacker (without turning),"With a mighty blow that would shake Olympus itself, you unhinge the jaw of the Primordial and knock out some of its teeth!",Cyclonus needs 5 tokens to perform an {Eye for an Eye} Attack,,,
BS0758,Figurehead,Odyssey,BP,Cycle II,Standard,,Cyclonus,III,,AT,7,1 Violent Ambrosia. 1 Cyclopean Metal,,Fail Exhaust all of your @Gear. :Wound Exhaust your active Weapon. Cyclonus moves 4 spaces directly away from the Attacker (without turning),You've shattered the false Antikratos Helm and feel undefeated!,You may perform a Bonus Attack with +1 @Power!,,,
BS0759,Ambrosia Sack,Odyssey,BP,Cycle II,Standard,,Cyclonus,III,,AT-Q,7,1 Violent Ambrosia. 1 Black Chain,,Fail Gain @Danger equal to twice the Primordial LVL. :Wound Gain @Rage equal to the Primordial LVL,"You've punctured the Ambrosia Sack, flooding the monster's body with the toxic fluid and shutting down the arm machinas","Gain one of the Maulfist @Gear cards (Secret deck 5, card [47|BJ0940] or [48|BJ0941]), @AdversaryActivation",,,
